A	ae ey5
tu3	t u3
tu4	t u4
tuan5	t uan5
tuan1	t uan1
tuan2	t uan2
tuan3	t uan3
tuan4	t uan4
tui5	t uei5
tui1	t uei1
tui2	t uei2
tui3	t uei3
tui4	t uei4
tun5	t uen5
tun1	t uen1
tun2	t uen2
tuo5	t uo5
tuo1	t uo1
tuo2	t uo2
tuo3	t uo3
tuo4	t uo4
wa5	ua5
wa1	ua1
wa2	ua2
wa3	ua3
wa4	ua4
wai1	uai1
wai2	uai2
wai3	uai3
wai4	uai4
wan5	uan5
wan1	uan1
wan2	uan2
wan3	uan3
wan4	uan4
wang5	uang5
wang1	uang1
wang2	uang2
wang3	uang3
wang4	uang4
wei5	uei5
wei1	uei1
wei2	uei2
wei3	uei3
wei4	uei4
wen5	uen5
wen1	uen1
wen2	uen2
wen3	uen3
wen4	uen4
weng1	ueng1
weng2	ueng2
weng3	ueng3
weng4	ueng4
wo5	uo5
wo1	uo1
wo2	uo2
wo3	uo3
wo4	uo4
wu5	u5
wu1	u1
wu2	u2
wu3	u3
wu4	u4
xi5	x i5
xi1	x i1
xi2	x i2
xi3	x i3
xi4	x i4
xia5	x ia5
xia1	x ia1
xia2	x ia2
xia4	x ia4
xian1	x ian1
xian2	x ian2
xian3	x ian3
xian4	x ian4
xiang1	x iang1
xiang2	x iang2
xiang3	x iang3
xiang4	x iang4
xiao5	x iao5
xiao1	x iao1
xiao2	x iao2
xiao3	x iao3
xiao4	x iao4
xie5	x ie5
xie1	x ie1
xie2	x ie2
xie3	x ie3
xie4	x ie4
xin5	x in5
xin1	x in1
xin4	x in4
xing5	x ing5
xing1	x ing1
xing2	x ing2
xing3	x ing3
xing4	x ing4
xiong5	x iong5
xiong1	x iong1
xiong2	x iong2
xiu1	x iou1
xiu3	x iou3
xiu4	x iou4
xu5	x v5
xu1	x v1
xu2	x v2
xu3	x v3
xu4	x v4
xuan1	x van1
xuan2	x van2
xuan3	x van3
xuan4	x van4
xue1	x ve1
xue2	x ve2
xue3	x ve3
xue4	x ve4
xun1	x vn1
xun2	x vn2
xun4	x vn4
ya5	ia5
ya1	ia1
ya2	ia2
ya3	ia3
ya4	ia4
yan1	ian1
yan2	ian2
yan3	ian3
yan4	ian4
yang5	iang5
yang1	iang1
yang2	iang2
yang3	iang3
yang4	iang4
yao5	iao5
yao1	iao1
yao2	iao2
yao3	iao3
yao4	iao4
ye5	ie5
ye1	ie1
ye2	ie2
ye3	ie3
ye4	ie4
yi5	i5
yi1	i1
yi2	i2
yi3	i3
yi4	i4
yin1	in1
yin2	in2
yin3	in3
yin4	in4
ying5	ing5
ying1	ing1
ying2	ing2
ying3	ing3
ying4	ing4
yo5	io5
yo1	io1
yong5	iong5
yong1	iong1
yong2	iong2
yong3	iong3
yong4	iong4
you5	iou5
you1	iou1
you2	iou2
you3	iou3
you4	iou4
yu5	v5
yu1	v1
yu2	v2
yu3	v3
yu4	v4
yuan5	van5
yuan1	van1
yuan2	van2
yuan3	van3
yuan4	van4
yue5	ve5
yue1	ve1
yue4	ve4
yun1	vn1
yun2	vn2
yun3	vn3
yun4	vn4
za1	z a1
za2	z a2
za3	z a3
zai5	z ai5
zai1	z ai1
zai2	z ai2
zai3	z ai3
zai4	z ai4
zan1	z an1
zan2	z an2
zan3	z an3
zan4	z an4
zang1	z ang1
zang4	z ang4
zao5	z ao5
zao1	z ao1
zao2	z ao2
zao3	z ao3
zao4	z ao4
ze2	z e2
ze4	z e4
zei2	z ei2
zen2	z en2
zen3	z en3
zeng1	z eng1
zeng4	z eng4
zha5	zh a5
zha1	zh a1
zha2	zh a2
zha3	zh a3
zha4	zh a4
zhai1	zh ai1
zhai2	zh ai2
zhai3	zh ai3
zhai4	zh ai4
zhan1	zh an1
zhan2	zh an2
zhan3	zh an3
zhan4	zh an4
zhang1	zh ang1
zhang2	zh ang2
zhang3	zh ang3
zhang4	zh ang4
zhao1	zh ao1
zhao2	zh ao2
zhao3	zh ao3
zhao4	zh ao4
zhe5	zh e5
zhe1	zh e1
zhe2	zh e2
zhe3	zh e3
zhe4	zh e4
zhei4	zh ei4
zhen1	zh en1
zhen2	zh en2
zhen3	zh en3
zhen4	zh en4
zheng5	zh eng5
zheng1	zh eng1
zheng2	zh eng2
zheng3	zh eng3
zheng4	zh eng4
zhi5	zh iii5
zhi1	zh iii1
zhi2	zh iii2
zhi3	zh iii3
zhi4	zh iii4
zhong1	zh ong1
zhong2	zh ong2
zhong3	zh ong3
zhong4	zh ong4
zhou5	zh ou5
zhou1	zh ou1
zhou2	zh ou2
zhou3	zh ou3
zhou4	zh ou4
zhu5	zh u5
zhu1	zh u1
zhu2	zh u2
zhu3	zh u3
zhu4	zh u4
zhua1	zh ua1
zhua3	zh ua3
zhuai4	zh uai4
zhuan5	zh uan5
zhuan1	zh uan1
zhuan2	zh uan2
zhuan3	zh uan3
zhuan4	zh uan4
zhuang5	zh uang5
zhuang1	zh uang1
zhuang4	zh uang4
zhui1	zh uei1
zhui4	zh uei4
zhun1	zh uen1
zhun2	zh uen2
zhun3	zh uen3
zhuo1	zh uo1
zhuo2	zh uo2
zi5	z ii5
zi1	z ii1
zi2	z ii2
zi3	z ii3
zi4	z ii4
zong5	z ong5
zong1	z ong1
zong2	z ong2
zong3	z ong3
zong4	z ong4
zou1	z ou1
zou2	z ou2
zou3	z ou3
zou4	z ou4
zu5	z u5
zu1	z u1
zu2	z u2
zu3	z u3
zuan1	z uan1
zuan2	z uan2
zuan3	z uan3
zuan4	z uan4
zui2	z uei2
zui3	z uei3
zui4	z uei4
zun1	z uen1
zuo5	z uo5
zuo1	z uo1
zuo2	z uo2
zuo3	z uo3
zuo4	z uo4
